Date,,,,Close,,,,,
4/19/2018,,,,151.04,,,,,
4/20/2018,,,,150.05,,,,,
4/23/2018,,,,151.67,,,,,
4/24/2018,,,,153.44,,,,,
4/25/2018,,,,154.68,,,,,
4/26/2018,,,,149.68,,,,,
4/27/2018,,,,152.3,,,,,
4/30/2018,,,,148.24,,,,,
5/1/2018,,,,147.1,,,,,
5/2/2018,,,,144.51,,,,,
5/3/2018,,,,144.24,,,,,
5/4/2018,,,,145.32,,,,,
5/7/2018,,,,144.44,,,,,
5/8/2018,,,,142.56,,,,,
5/9/2018,,,,140.95,,,,,
5/10/2018,,,,143.64,,,,,
5/11/2018,,,,146.65,,,,,
5/14/2018,,,,146.12,,,,,
5/15/2018,,,,144.94,,,,,
5/16/2018,,,,145.45,,,,,
5/17/2018,,,,144.64,,,,,
5/18/2018,,,,144.75,,,,,
5/21/2018,,,,146.91,,,,,
5/22/2018,,,,147.12,,,,,
5/23/2018,,,,146.49,,,,,
5/24/2018,,,,147.36,,,,,
5/25/2018,,,,146.49,,,,,
5/29/2018,,,,145.66,,,,,
5/30/2018,,,,146.78,,,,,
5/31/2018,,,,144.87,,,,,
6/1/2018,,,,145.23,,,,,
6/4/2018,,,,145.08,,,,,
6/5/2018,,,,145.81,,,,,
6/6/2018,,,,148.01,,,,,
6/7/2018,,,,149.81,,,,,
6/8/2018,,,,150.11,,,,,
6/11/2018,,,,151.11,,,,,
6/12/2018,,,,150.8,,,,,
6/13/2018,,,,144.03,,,,,
6/14/2018,,,,145.44,,,,,
6/15/2018,,,,147.15,,,,,
6/18/2018,,,,144.25,,,,,
6/19/2018,,,,146.3,,,,,
6/20/2018,,,,144.88,,,,,
6/21/2018,,,,144.62,,,,,
6/22/2018,,,,146.39,,,,,
6/25/2018,,,,146.28,,,,,
6/26/2018,,,,145.66,,,,,
6/27/2018,,,,145.71,,,,,
6/28/2018,,,,149.05,,,,,
6/29/2018,,,,148.12,,,,,
7/2/2018,,,,148.46,,,,,
7/3/2018,,,,150.19,,,,,
7/5/2018,,,,150.79,,,,,
7/6/2018,,,,151.33,,,,,
7/9/2018,,,,149.18,,,,,
7/10/2018,,,,150.87,,,,,
7/11/2018,,,,149.29,,,,,
7/12/2018,,,,150.07,,,,,
7/13/2018,,,,148.94,,,,,
7/16/2018,,,,149.64,,,,,
7/17/2018,,,,149.1,,,,,
7/18/2018,,,,148.56,,,,,
7/19/2018,,,,146.92,,,,,
7/20/2018,,,,146.2,,,,,
7/23/2018,,,,146.16,,,,,
7/24/2018,,,,148.73,,,,,
7/25/2018,,,,144.44,,,,,
7/26/2018,,,,145.07,,,,,
7/27/2018,,,,147.88,,,,,
7/30/2018,,,,150.76,,,,,
7/31/2018,,,,149.6,,,,,
8/1/2018,,,,149.49,,,,,
8/2/2018,,,,149.76,,,,,
8/3/2018,,,,151.16,,,,,
8/6/2018,,,,151.03,,,,,
8/7/2018,,,,151.66,,,,,
8/8/2018,,,,151.85,,,,,
8/9/2018,,,,153.34,,,,,
