Date,,,,Close
4/19/2018,,,,1172.42
4/20/2018,,,,1154.71
4/23/2018,,,,1150.12
4/24/2018,,,,1127.26
4/25/2018,,,,1125.92
4/26/2018,,,,1151.48
4/27/2018,,,,1147.79
4/30/2018,,,,1141.98
5/1/2018,,,,1158.7
5/2/2018,,,,1158.36
5/3/2018,,,,1161.72
5/4/2018,,,,1184.62
5/7/2018,,,,1193.98
5/8/2018,,,,1197.43
5/9/2018,,,,1213.88
5/10/2018,,,,1229.46
5/11/2018,,,,1225.49
5/14/2018,,,,1225.28
5/15/2018,,,,1213.52
5/16/2018,,,,1218.08
5/17/2018,,,,1212.09
5/18/2018,,,,1206.58
5/21/2018,,,,1216.7
5/22/2018,,,,1213.53
5/23/2018,,,,1223.92
5/24/2018,,,,1222.43
5/25/2018,,,,1222.42
5/29/2018,,,,1214.37
5/30/2018,,,,1223.17
5/31/2018,,,,1223.45
6/1/2018,,,,1247.55
6/4/2018,,,,1257.42
6/5/2018,,,,1262.82
6/6/2018,,,,1269.56
6/7/2018,,,,1255.77
6/8/2018,,,,1256.13
6/11/2018,,,,1255.99
6/12/2018,,,,1263.31
6/13/2018,,,,1260.43
6/14/2018,,,,1268.1
6/15/2018,,,,1262.42
6/18/2018,,,,1265.73
6/19/2018,,,,1256.65
6/20/2018,,,,1260.84
6/21/2018,,,,1250.71
6/22/2018,,,,1245.94
6/25/2018,,,,1217.55
6/26/2018,,,,1223.34
6/27/2018,,,,1205.57
6/28/2018,,,,1218.54
6/29/2018,,,,1218.64
7/2/2018,,,,1230.67
7/3/2018,,,,1213.8
7/5/2018,,,,1231.58
7/6/2018,,,,1246.81
7/9/2018,,,,1256.99
7/10/2018,,,,1259.93
7/11/2018,,,,1253.51
7/12/2018,,,,1276
7/13/2018,,,,1275.7
7/16/2018,,,,1271.25
7/17/2018,,,,1281.56
7/18/2018,,,,1280.13
7/19/2018,,,,1275.85
7/20/2018,,,,1276.99
7/23/2018,,,,1283.6
7/24/2018,,,,1290
7/25/2018,,,,1309.37
7/26/2018,,,,1287.9
7/27/2018,,,,1262.27
7/30/2018,,,,1239.79
7/31/2018,,,,1243.45
8/1/2018,,,,1255.48
8/2/2018,,,,1272.67
8/3/2018,,,,1277.05
8/6/2018,,,,1284.6
8/7/2018,,,,1288.83
8/8/2018,,,,1292.47
8/9/2018,,,,1291.77
8/10/2018,,,,1281.29
8/13/2018,,,,1279.42
8/14/2018,,,,1287.33
8/15/2018,,,,1273.61
8/16/2018,,,,1276.82
8/17/2018,,,,1279.16
8/20/2018,,,,1277.2
8/21/2018,,,,1278.14
8/22/2018,,,,1284.25
8/23/2018,,,,1286.61
8/24/2018,,,,1300.75
8/27/2018,,,,1313.3
8/28/2018,,,,1316.12
8/29/2018,,,,1329.47
8/30/2018,,,,1325.59
8/31/2018,,,,1327.21
9/4/2018,,,,1323.19
9/5/2018,,,,1303.36
9/6/2018,,,,1292.79
9/7/2018,,,,1288.34
9/10/2018,,,,1292.41
9/11/2018,,,,1303.24
9/12/2018,,,,1296.77
9/13/2018,,,,1311.64
9/14/2018,,,,1311.93
9/17/2018,,,,1293.67
9/18/2018,,,,1301.71
9/19/2018,,,,1300.39
9/20/2018,,,,1315.67
9/21/2018,,,,1311.17
9/24/2018,,,,1315.29
9/25/2018,,,,1314.71
9/26/2018,,,,1309.37
9/27/2018,,,,1316.38
9/28/2018,,,,1322.07
10/1/2018,,,,1328.55
10/2/2018,,,,1328.41
10/3/2018,,,,1332.87
10/4/2018,,,,1309.08
10/5/2018,,,,1292.51
10/8/2018,,,,1277.25
